order_item_id,order_id,product_id,quantity,unit_price
1,1,432,1,30111.58
2,1,932,1,16639.59
3,2,809,3,45287.7
4,2,188,5,36062.46
5,3,300,5,24652.43
6,3,887,2,38951.53
7,4,937,5,42943.21
8,4,810,3,47609.16
9,4,33,1,24064.49
10,5,710,1,16012.44
11,5,525,4,19159.11
12,5,10,3,23112.11
13,6,107,3,12700.5
14,6,709,4,42370.25
15,6,782,3,20126.67
16,7,806,1,33663.98
17,7,657,5,38279.75
18,7,501,4,24145.76
19,8,149,1,1431.72
20,9,834,5,5608.04
21,10,963,2,46986.78
22,11,423,3,30345.51
23,12,191,2,34924.46
24,12,544,3,8438.59
25,13,994,3,12432.3
26,13,861,3,25883.61
27,13,311,4,10141.34
28,14,921,5,26182.39
29,14,824,5,44792.12
30,15,613,3,42718.59
31,15,111,2,33316.06
32,16,550,4,3519.86
33,16,994,1,44597.08
34,16,482,3,47378.61
35,17,413,2,30658.41
36,17,724,1,36313.15
37,18,252,5,45090.11
38,18,665,1,20292.35
39,19,41,5,23469.67
40,19,188,1,7309.82
41,19,810,5,10585.3
42,20,859,1,31936.61
43,20,649,3,14240.6
44,20,11,1,30854.83
45,21,76,1,6855.22
46,21,68,4,15674.47
47,22,614,4,3478.88
48,23,748,4,22582.84
49,23,341,2,1312.76
50,24,830,3,1814.15
51,24,465,2,16433.51
52,25,656,4,16548.08
53,25,519,1,19797.97
54,26,896,2,30541.19
55,26,507,3,28465.55
56,27,816,2,4554.92
57,28,545,5,3821.03
58,29,60,5,21458.8
59,30,449,1,21562.8
60,30,228,4,36452.73
61,31,712,2,15001.38
62,32,54,1,46696.67
63,33,199,5,2540.22
64,33,689,4,14345.32
65,34,988,5,38685.56
66,34,261,3,39136.8
67,35,467,1,15250.04
68,35,443,5,18522.3
69,36,741,4,6837.95
70,37,76,5,36926.51
71,38,532,5,47164.21
72,39,327,3,28998.61
73,39,687,4,31857.09
74,39,595,4,46187.87
75,40,635,2,2666.09
76,40,142,2,36920.85
77,41,584,3,4238.4
78,42,624,4,11750.11
79,42,558,3,37498.6
80,43,510,2,16440.74
81,43,702,1,5161.63
82,43,214,3,16995.51
83,44,415,2,382.78
84,44,986,2,41429.27
85,44,81,1,45993.52
86,45,739,4,12151.54
87,46,654,1,13641.61
88,47,885,3,48649.91
89,47,36,2,9461.58
90,47,464,3,1316.03
91,48,555,1,43884.9
92,49,397,3,41932.57
93,49,955,5,18531.13
94,50,304,5,42827.77
95,50,804,5,36353.61
96,51,265,3,44728.88
97,51,784,1,20861.83
98,52,965,2,15147.09
99,52,417,4,35890.77
100,52,655,2,45352.69
101,53,652,3,33596.75
102,54,795,5,8140.28
103,54,114,1,4017.37
104,55,341,3,39934.47
105,55,990,2,26208.03
106,56,289,2,10213.14
107,56,392,1,15556.51
108,56,615,5,20659.38
109,57,726,2,31862.15
110,57,669,1,9682.52
111,58,922,2,48939.84
112,58,726,2,24160.2
113,59,358,3,4318.57
114,59,813,2,37673.4
115,59,614,4,40107.81
116,60,497,4,29611.22
117,61,362,2,11963.62
