payment_id,order_id,payment_method,payment_status,payment_date
1,1,Net Banking,Failed,2024-02-14
2,2,Debit Card,Completed,2024-04-25
3,3,COD,Completed,2024-10-01
4,4,Debit Card,Failed,2024-09-25
5,5,COD,Failed,2025-05-24
6,6,Net Banking,Completed,2025-10-30
7,7,Net Banking,Completed,2024-11-23
8,8,UPI,Failed,2025-08-08
9,9,Debit Card,Completed,2025-11-15
10,10,COD,Failed,2026-04-08
11,11,Net Banking,Completed,2024-08-19
12,12,Debit Card,Completed,2025-05-04
13,13,UPI,Failed,2025-02-13
14,14,Net Banking,Completed,2024-01-02
15,15,Debit Card,Completed,2024-05-24
16,16,Net Banking,Completed,2024-04-22
17,17,UPI,Failed,2024-08-19
18,18,Credit Card,Completed,2025-02-10
19,19,Debit Card,Completed,2026-03-15
20,20,Net Banking,Completed,2025-03-02
21,21,Credit Card,Completed,2024-04-12
22,22,UPI,Failed,2025-08-19
23,23,COD,Completed,2026-02-20
24,24,Debit Card,Completed,2025-03-06
25,25,UPI,Completed,2026-01-21
26,26,COD,Completed,2026-03-09
27,27,UPI,Failed,2026-01-21
28,28,Credit Card,Completed,2025-12-30
29,29,UPI,Failed,2025-08-26
30,30,Net Banking,Completed,2024-10-01
31,31,Net Banking,Completed,2024-05-20
32,32,Debit Card,Failed,2025-07-10
33,33,COD,Failed,2024-07-17
34,34,Debit Card,Completed,2025-02-02
35,35,Net Banking,Failed,2024-10-05
36,36,Net Banking,Failed,2024-08-15
37,37,COD,Failed,2025-01-27
38,38,Net Banking,Completed,2024-06-16
39,39,COD,Completed,2024-10-27
40,40,COD,Completed,2024-07-26
41,41,Credit Card,Completed,2024-11-13
42,42,Credit Card,Completed,2024-03-21
43,43,Credit Card,Completed,2025-08-26
44,44,COD,Completed,2025-02-15
45,45,Net Banking,Completed,2024-04-27
46,46,Net Banking,Completed,2025-01-03
47,47,Net Banking,Failed,2024-02-09
48,48,Net Banking,Completed,2024-06-08
49,49,Credit Card,Completed,2024-05-13
50,50,COD,Completed,2025-08-16
51,51,Credit Card,Completed,2024-11-29
52,52,COD,Failed,2024-08-25
