s.no,shipping_id,order_id,shipping_date,delivery_date,shipping_cost,courier_name
,1,1,15-02-2024,22-02-2024,264.71,Ekart
,2,2,26-04-2024,30-04-2024,227.03,Delhivery
,3,3,02-10-2024,06-10-2024,263.3,Blue Dart
,4,4,26-09-2024,01-10-2024,104.46,Ekart
,5,5,25-05-2025,27-05-2025,154.09,Ekart
,6,6,31-10-2025,03-11-2025,130.8,DTDC
,7,7,24-11-2024,26-11-2024,263.21,Ekart
,8,8,09-08-2025,12-08-2025,289.14,Ekart
,9,9,16-11-2025,19-11-2025,223.92,Ekart
,10,10,09-04-2026,13-04-2026,95.32,DTDC
,11,11,20-08-2024,27-08-2024,251.55,Ekart
,12,12,05-05-2025,10-05-2025,146.1,Delhivery
,13,13,14-02-2025,21-02-2025,89.5,Ekart
,14,14,03-01-2024,05-01-2024,276.95,Delhivery
,15,15,25-05-2024,28-05-2024,208.44,Delhivery
,16,16,23-04-2024,29-04-2024,114,Delhivery
,17,17,20-08-2024,27-08-2024,41.92,Blue Dart
,18,18,11-02-2025,16-02-2025,277.7,Ekart
,19,19,16-03-2026,19-03-2026,118.56,Delhivery
,20,20,03-03-2025,06-03-2025,81.59,DTDC
,21,21,13-04-2024,19-04-2024,84.18,Blue Dart
,22,22,20-08-2025,24-08-2025,225.33,Ekart
,23,23,21-02-2026,24-02-2026,290.41,Blue Dart
,24,24,07-03-2025,13-03-2025,99.34,Delhivery
,25,25,22-01-2026,27-01-2026,125.13,DTDC
,26,26,10-03-2026,14-03-2026,118.49,Delhivery
,27,27,22-01-2026,29-01-2026,73.05,DTDC
,28,28,31-12-2025,05-01-2026,289.98,DTDC
,29,29,27-08-2025,01-09-2025,201.3,Blue Dart
,30,30,02-10-2024,08-10-2024,43.29,DTDC
,31,31,21-05-2024,27-05-2024,150.96,Ekart
,32,32,11-07-2025,16-07-2025,47.59,Blue Dart
,33,33,18-07-2024,20-07-2024,290.55,Blue Dart
,34,34,03-02-2025,07-02-2025,88,Blue Dart
,35,35,06-10-2024,13-10-2024,156.53,Ekart
,36,36,16-08-2024,23-08-2024,238.02,Delhivery
,37,37,28-01-2025,04-02-2025,245.86,Ekart
,38,38,17-06-2024,21-06-2024,275.43,Blue Dart
,39,39,28-10-2024,04-11-2024,152.59,Blue Dart
,40,40,27-07-2024,03-08-2024,286.29,Ekart
,41,41,14-11-2024,21-11-2024,142.13,Blue Dart
,42,42,22-03-2024,24-03-2024,107.17,Delhivery
,43,43,27-08-2025,29-08-2025,58.51,Blue Dart
,44,44,16-02-2025,20-02-2025,160.9,Ekart
,45,45,28-04-2024,01-05-2024,282.93,Blue Dart
,46,46,04-01-2025,09-01-2025,157.27,Ekart
,47,47,10-02-2024,14-02-2024,201.88,DTDC
,48,48,09-06-2024,15-06-2024,47.63,Ekart
,49,49,14-05-2024,21-05-2024,226.37,Ekart
,50,50,17-08-2025,24-08-2025,208.04,Delhivery
,51,51,30-11-2024,06-12-2024,59.39,Ekart
,52,52,26-08-2024,28-08-2024,134.76,Blue Dart
,53,53,29-01-2024,31-01-2024,94.86,Delhivery
,54,54,01-11-2025,08-11-2025,192.91,Delhivery
,55,55,14-03-2026,17-03-2026,118.04,DTDC
,56,56,04-02-2026,06-02-2026,292.22,DTDC
,57,57,24-12-2024,30-12-2024,179.58,Delhivery
,58,58,05-06-2024,11-06-2024,256.18,DTDC
,59,59,15-01-2024,20-01-2024,228.58,DTDC
,60,60,18-03-2026,24-03-2026,171.73,Blue Dart
,61,61,11-03-2025,14-03-2025,116.06,DTDC
,62,62,04-02-2024,06-02-2024,64.89,DTDC
,63,63,14-12-2025,17-12-2025,165.12,Ekart
,64,64,01-09-2024,05-09-2024,222.47,Delhivery
,65,65,12-02-2024,19-02-2024,181.78,Delhivery
,66,66,18-09-2025,25-09-2025,50.41,DTDC
,67,67,15-01-2024,19-01-2024,84.28,DTDC
,68,68,25-07-2024,29-07-2024,154.61,Ekart
,69,69,12-05-2026,18-05-2026,78.14,DTDC
,70,70,16-05-2024,19-05-2024,45.51,Delhivery
,71,71,25-05-2025,31-05-2025,185.15,Ekart
,72,72,09-07-2024,13-07-2024,282.72,DTDC
,73,73,12-08-2025,14-08-2025,238.5,DTDC
,74,74,17-03-2025,20-03-2025,273.73,Blue Dart
,75,75,13-05-2024,16-05-2024,138.65,Ekart
,76,76,06-08-2025,11-08-2025,219.53,DTDC
,77,77,19-05-2024,26-05-2024,203.62,Ekart
,78,78,15-02-2024,22-02-2024,228.44,Delhivery
,79,79,25-02-2024,27-02-2024,180.59,Delhivery
,80,80,18-11-2025,21-11-2025,200.78,Blue Dart
,81,81,19-12-2025,23-12-2025,189.1,Delhivery
,82,82,17-02-2024,19-02-2024,294.87,DTDC
,83,83,23-04-2024,30-04-2024,246.9,DTDC
,84,84,08-07-2024,11-07-2024,127.52,Blue Dart
,85,85,18-02-2025,22-02-2025,180.83,DTDC
,86,86,15-10-2024,21-10-2024,154.42,Delhivery
,87,87,08-09-2024,15-09-2024,91.38,Ekart
,88,88,22-12-2024,24-12-2024,241.51,Ekart
,89,89,07-05-2024,10-05-2024,165.26,Ekart
,90,90,12-10-2025,16-10-2025,203.12,Delhivery
,91,91,08-05-2026,13-05-2026,215.65,Delhivery
,92,92,31-05-2026,03-06-2026,245.53,Blue Dart
,93,93,03-05-2026,06-05-2026,231.95,Blue Dart
,94,94,29-01-2024,04-02-2024,53.29,Ekart
,95,95,28-08-2025,04-09-2025,166.85,Delhivery
,96,96,05-11-2025,10-11-2025,48.38,DTDC
,97,97,28-06-2025,01-07-2025,235.53,DTDC
,98,98,06-04-2025,12-04-2025,96.58,DTDC
,99,99,30-01-2026,01-02-2026,76.79,Blue Dart
,100,100,19-01-2024,22-01-2024,65.09,DTDC
,101,101,05-10-2025,11-10-2025,184.62,DTDC
,102,102,02-06-2024,06-06-2024,283.83,DTDC
,103,103,10-02-2024,14-02-2024,236.94,DTDC
,104,104,12-12-2025,14-12-2025,197.39,Delhivery
,105,105,07-03-2026,11-03-2026,82.9,DTDC
,106,106,23-08-2025,28-08-2025,81.79,Ekart
,107,107,20-05-2025,22-05-2025,173.33,DTDC
,108,108,14-04-2024,16-04-2024,237.06,Ekart
,109,109,27-01-2024,31-01-2024,184.4,Blue Dart
,110,110,06-10-2024,13-10-2024,193.54,Blue Dart
,111,111,29-05-2024,02-06-2024,240.56,DTDC
,112,112,01-08-2024,07-08-2024,189.96,Blue Dart
,113,113,25-12-2024,29-12-2024,286.16,Delhivery
,114,114,10-09-2025,16-09-2025,76.63,Blue Dart
,115,115,19-05-2024,21-05-2024,117.47,Ekart
,116,116,17-06-2024,19-06-2024,157.16,Blue Dart
,117,117,10-06-2025,17-06-2025,135.73,Ekart
,118,118,26-02-2024,03-03-2024,41.32,Ekart
,119,119,02-01-2026,07-01-2026,117.85,DTDC
,120,120,22-04-2024,24-04-2024,154.72,DTDC
,121,121,15-06-2025,17-06-2025,127.32,Blue Dart
,122,122,18-11-2024,24-11-2024,182.41,Delhivery
,123,123,27-07-2025,29-07-2025,155.7,Blue Dart
,124,124,25-07-2024,27-07-2024,48.5,Ekart
,125,125,05-03-2024,11-03-2024,246.24,DTDC
,126,126,27-07-2025,02-08-2025,296.17,Delhivery
,127,127,27-04-2025,01-05-2025,150.8,Ekart
,128,128,23-12-2025,25-12-2025,273.55,Blue Dart
,129,129,05-05-2024,07-05-2024,188.71,DTDC
,130,130,05-04-2024,09-04-2024,132.06,DTDC
,131,131,08-04-2026,15-04-2026,140.67,Ekart
,132,132,23-07-2024,26-07-2024,163.51,DTDC
,133,133,03-01-2025,06-01-2025,155.12,Ekart
,134,134,14-05-2024,21-05-2024,155.68,Blue Dart
,135,135,11-08-2024,15-08-2024,74.31,Ekart
,136,136,27-05-2026,29-05-2026,220.74,Ekart
,137,137,01-06-2024,08-06-2024,141.03,Ekart
,138,138,28-04-2025,02-05-2025,87.66,Ekart
,139,139,27-10-2024,31-10-2024,53.88,DTDC
,140,140,29-05-2024,01-06-2024,209.74,Ekart
,141,141,25-02-2024,29-02-2024,236.29,Blue Dart
,142,142,23-07-2024,25-07-2024,111.37,Blue Dart
,143,143,15-09-2025,18-09-2025,208.86,Ekart
,144,144,28-04-2026,02-05-2026,117.98,Delhivery
,145,145,01-10-2024,08-10-2024,52.92,Delhivery
,146,146,17-08-2025,20-08-2025,233.29,DTDC
,147,147,11-09-2025,14-09-2025,152.15,Blue Dart
,148,148,18-02-2026,22-02-2026,163.98,Delhivery
,149,149,02-12-2025,06-12-2025,167.87,Blue Dart
,150,150,10-06-2025,15-06-2025,124.29,Ekart
,151,151,27-04-2024,29-04-2024,130.68,Ekart
,152,152,11-02-2024,18-02-2024,184.62,Ekart
,153,153,04-12-2025,06-12-2025,71.98,DTDC
,154,154,26-09-2024,02-10-2024,209.95,Delhivery
,155,155,16-02-2024,19-02-2024,221.41,Delhivery
,156,156,30-05-2024,06-06-2024,224.93,Delhivery
,157,157,02-04-2026,05-04-2026,248.11,Delhivery
,158,158,10-09-2025,13-09-2025,179.04,Ekart
,159,159,09-06-2025,15-06-2025,209.48,Ekart
,160,160,24-03-2025,29-03-2025,107.7,Delhivery
,161,161,13-01-2024,20-01-2024,155.83,Delhivery
,162,162,14-03-2025,17-03-2025,231.98,Delhivery
,163,163,29-07-2024,01-08-2024,187.88,DTDC
,164,164,24-04-2024,01-05-2024,83.5,Blue Dart
,165,165,16-11-2025,21-11-2025,279.48,DTDC
,166,166,03-10-2025,06-10-2025,77.5,DTDC
,167,167,17-05-2025,21-05-2025,280.34,Blue Dart
,168,168,19-04-2024,25-04-2024,119.98,Blue Dart
,169,169,08-10-2025,10-10-2025,220.39,Delhivery
,170,170,15-05-2026,22-05-2026,224.08,DTDC
,171,171,02-07-2025,04-07-2025,273.63,Delhivery
,172,172,22-12-2024,26-12-2024,168.19,Blue Dart
,173,173,20-11-2024,25-11-2024,112.72,Ekart
,174,174,12-04-2025,17-04-2025,204.27,Delhivery
,175,175,16-03-2026,20-03-2026,108.94,Blue Dart
,176,176,05-06-2025,10-06-2025,46.3,DTDC
,177,177,20-09-2024,26-09-2024,195.29,Ekart
,178,178,13-09-2025,18-09-2025,138.63,DTDC
,179,179,14-12-2024,21-12-2024,177.76,Ekart
,180,180,03-01-2024,10-01-2024,141.4,DTDC
,181,181,15-09-2025,21-09-2025,230.45,Ekart
,182,182,29-07-2024,01-08-2024,272.77,Ekart
,183,183,22-04-2024,24-04-2024,177.21,Delhivery
,184,184,12-03-2025,17-03-2025,210.66,Delhivery
,185,185,18-11-2025,22-11-2025,135.07,Delhivery
,186,186,12-03-2025,17-03-2025,209.97,DTDC
,187,187,03-02-2025,06-02-2025,51.96,DTDC
,188,188,09-05-2024,14-05-2024,162.44,DTDC
,189,189,28-06-2025,04-07-2025,184.96,Delhivery
,190,190,28-12-2025,03-01-2026,43.05,Blue Dart
,191,191,18-05-2025,21-05-2025,122.93,Blue Dart
,192,192,07-11-2024,10-11-2024,235.65,DTDC
,193,193,06-06-2024,11-06-2024,213.36,Delhivery
,194,194,01-05-2025,07-05-2025,219.02,Blue Dart
,195,195,23-09-2024,25-09-2024,285.34,DTDC
,196,196,06-01-2026,11-01-2026,46.59,Blue Dart
,197,197,14-09-2024,18-09-2024,122.81,Delhivery
,198,198,10-10-2025,12-10-2025,66.89,Delhivery
,199,199,07-01-2025,13-01-2025,70.36,DTDC
,200,200,01-04-2024,06-04-2024,133.54,DTDC
,201,201,27-04-2026,01-05-2026,271.13,Blue Dart
,202,202,07-04-2026,11-04-2026,247.14,DTDC
,203,203,15-02-2026,19-02-2026,281.89,DTDC
,204,204,04-08-2024,11-08-2024,116.83,DTDC
,205,205,10-02-2026,14-02-2026,166.65,DTDC
,206,206,21-07-2024,26-07-2024,284.89,Blue Dart
,207,207,15-08-2024,19-08-2024,256.6,Ekart
,208,208,23-01-2026,28-01-2026,158.82,Ekart
,209,209,26-08-2024,28-08-2024,86.04,Blue Dart
,210,210,22-05-2026,24-05-2026,145.83,Delhivery
,211,211,20-07-2025,22-07-2025,53.77,Ekart
,212,212,14-03-2026,20-03-2026,68.39,Delhivery
,213,213,31-03-2026,05-04-2026,154.37,DTDC
,214,214,11-01-2024,16-01-2024,238.47,Delhivery
,215,215,16-04-2024,22-04-2024,72.8,Blue Dart
,216,216,15-09-2025,21-09-2025,138.97,Delhivery
,217,217,07-09-2024,12-09-2024,217.54,Ekart
,218,218,13-05-2026,16-05-2026,250.75,Delhivery
,219,219,24-01-2025,27-01-2025,228.2,Delhivery
,220,220,01-06-2024,05-06-2024,141.14,DTDC
,221,221,23-10-2025,26-10-2025,217.96,DTDC
,222,222,12-07-2025,14-07-2025,123.98,Ekart
,223,223,10-04-2024,16-04-2024,132.01,DTDC
,224,224,07-11-2024,10-11-2024,151.22,Blue Dart
,225,225,17-07-2024,21-07-2024,268.62,DTDC
,226,226,06-05-2024,12-05-2024,50.52,Ekart
,227,227,01-05-2024,07-05-2024,189.81,Blue Dart
,228,228,14-01-2026,20-01-2026,250.08,Delhivery
,229,229,04-02-2025,08-02-2025,107.59,Blue Dart
,230,230,12-02-2024,19-02-2024,140.19,Ekart
,231,231,15-05-2024,18-05-2024,233.44,DTDC
,232,232,26-01-2024,01-02-2024,199.34,Delhivery
,233,233,31-08-2024,07-09-2024,224.15,Delhivery
,234,234,04-12-2025,11-12-2025,76.35,Blue Dart
,235,235,24-05-2025,26-05-2025,86.38,Ekart
,236,236,04-06-2025,09-06-2025,118.17,DTDC
,237,237,20-09-2024,22-09-2024,233.39,Delhivery
,238,238,20-04-2026,24-04-2026,229.09,Delhivery
,239,239,26-05-2024,31-05-2024,140.7,DTDC
,240,240,19-05-2024,25-05-2024,210.91,DTDC
,241,241,28-04-2024,30-04-2024,177.32,DTDC
,242,242,07-07-2024,14-07-2024,280.87,Delhivery
,243,243,21-01-2025,24-01-2025,50.61,Delhivery
,244,244,05-10-2024,12-10-2024,116.46,Delhivery
,245,245,16-04-2025,22-04-2025,151.1,Ekart
,246,246,31-01-2025,07-02-2025,81.95,Blue Dart
,247,247,06-05-2025,11-05-2025,91.66,Blue Dart
,248,248,16-09-2024,20-09-2024,288.48,Ekart
,249,249,13-07-2024,19-07-2024,217.83,DTDC
,250,250,07-01-2026,13-01-2026,105.06,DTDC
,251,251,04-03-2024,06-03-2024,203.01,Delhivery
