order_id,customer_id,order_date,order_status,total_amount
1,3812,2024-02-14,Cancelled,46751.17
2,2762,2024-04-25,Delivered,316175.4
3,4001,2024-10-01,Processing,201165.21
4,4336,2024-09-25,Cancelled,381608.02
5,2082,2025-05-24,Cancelled,161985.21
6,1562,2025-10-30,Processing,267962.51
7,676,2024-11-23,Processing,321645.77
8,3406,2025-08-08,Cancelled,1431.72
9,3525,2025-11-15,Delivered,28040.2
10,3635,2026-04-08,Cancelled,93973.56
11,4603,2024-08-19,Processing,91036.53
12,1886,2025-05-04,Shipped,95164.69
13,2937,2025-02-13,Cancelled,155513.09
14,1407,2024-01-02,Processing,354872.55
15,2784,2024-05-24,Processing,194787.89
16,818,2024-04-22,Processing,200812.35
17,1723,2024-08-19,Cancelled,97629.97
18,1091,2025-02-10,Delivered,245742.9
19,3921,2026-03-15,Processing,177584.67
20,3721,2025-03-02,Delivered,105513.24
21,3780,2024-04-12,Shipped,69553.1
22,3721,2025-08-19,Cancelled,13915.52
23,4309,2026-02-20,Delivered,92956.88
24,499,2025-03-06,Shipped,38309.47
25,4051,2026-01-21,Shipped,85990.29
26,533,2026-03-09,Shipped,146479.03
27,2162,2026-01-21,Cancelled,9109.84
28,1730,2025-12-30,Delivered,19105.15
29,1273,2025-08-26,Cancelled,107294
30,1643,2024-10-01,Delivered,167373.72
31,2367,2024-05-20,Shipped,30002.76
32,191,2025-07-10,Cancelled,46696.67
33,2026,2024-07-17,Cancelled,70082.38
34,4238,2025-02-02,Shipped,310838.2
35,18,2024-10-05,Cancelled,107861.54
36,4080,2024-08-15,Cancelled,27351.8
37,718,2025-01-27,Cancelled,184632.55
38,1816,2024-06-16,Processing,235821.05
39,2797,2024-10-27,Shipped,399175.67
40,1587,2024-07-26,Processing,79173.88
41,3287,2024-11-13,Shipped,12715.2
42,3430,2024-03-21,Delivered,159496.24
43,3494,2025-08-26,Delivered,89029.64
44,412,2025-02-15,Processing,129617.62
45,2805,2024-04-27,Delivered,48606.16
46,3028,2025-01-03,Shipped,13641.61
47,2352,2024-02-09,Cancelled,168820.98
48,1469,2024-06-08,Processing,43884.9
49,4906,2024-05-13,Delivered,218453.36
50,1872,2025-08-16,Processing,395906.9
51,3793,2024-11-29,Shipped,155048.47
52,2137,2024-08-25,Cancelled,264562.64
53,4383,2024-01-28,Delivered,100790.25
54,572,2025-10-31,Processing,44718.77
55,2262,2026-03-13,Cancelled,172219.47
56,1840,2026-02-03,Delivered,139279.69
57,3347,2024-12-23,Shipped,73406.82
58,279,2024-06-04,Shipped,146200.08
59,2259,2024-01-14,Cancelled,248733.75
60,2866,2026-03-17,Processing,118444.88
61,4852,2025-03-10,Shipped,114156.03
62,4667,2024-02-03,Delivered,117754.47
63,4162,2025-12-13,Processing,57537.43
64,4651,2024-08-31,Shipped,366489.74
65,4666,2024-02-11,Delivered,93248.68
66,4545,2025-09-17,Shipped,265461
67,4252,2024-01-14,Delivered,190676.89
68,3001,2024-07-24,Delivered,206748.58
69,351,2026-05-11,Shipped,149740.28
70,648,2024-05-15,Shipped,162139.69
71,3038,2025-05-24,Shipped,3519.94
72,4551,2024-07-08,Cancelled,128847.45
73,1373,2025-08-11,Cancelled,148983.8
74,2492,2025-03-16,Delivered,172703.75
75,3855,2024-05-12,Delivered,10789.94
76,1332,2025-08-05,Shipped,55094.61
77,1580,2024-05-18,Processing,59058.64
78,1752,2024-02-14,Shipped,313524.12
79,2488,2024-02-24,Processing,113105.48
80,1770,2025-11-17,Delivered,60330.6
81,191,2025-12-18,Shipped,125939.92
82,3821,2024-02-16,Shipped,24701.68
83,1201,2024-04-22,Shipped,77390.48
84,4506,2024-07-07,Shipped,58269.01
85,299,2025-02-17,Shipped,67108.85
86,2195,2024-10-14,Cancelled,180668.65
87,1335,2024-09-07,Shipped,122461.46
88,4460,2024-12-21,Delivered,195562.42
89,4125,2024-05-06,Cancelled,57115.16
90,4934,2025-10-11,Shipped,81222.73
91,3270,2026-05-07,Delivered,34994.14
92,3511,2026-05-30,Cancelled,45961.88
93,2815,2026-05-02,Cancelled,92510.9
94,290,2024-01-28,Cancelled,173879.5
95,1665,2025-08-27,Shipped,236582.15
96,1868,2025-11-04,Processing,136364.36
97,484,2025-06-27,Delivered,103840.35
98,2090,2025-04-05,Processing,60202.24
99,3817,2026-01-29,Processing,149543.32
100,1688,2024-01-18,Delivered,94680.02
101,2307,2025-10-04,Shipped,236622.85
102,4061,2024-06-01,Cancelled,75529.26
103,4794,2024-02-09,Cancelled,343799.94
104,4687,2025-12-11,Processing,99314.33
105,4405,2026-03-06,Processing,100113.73
106,4220,2025-08-22,Delivered,36841.8
107,4020,2025-05-19,Delivered,1287.14
108,3693,2024-04-13,Cancelled,26501.96
109,149,2024-01-26,Processing,224590.22
110,1869,2024-10-05,Delivered,38242.62
